"","p-value","fold change"
"3-hydroxyphenylacetic acid",0.224842433224536,-1.51644228425464
"3-hydroxy-3-methylglutaric acid",0.188411977949276,1.14065131570907
"3-hydroxy-3-(4'-hydroxy-3'-methoxyphenyl)propionic acid NIST",0.115723625477627,-1.96892832735305
"3-aminoisobutyric acid",0.369905005552378,-1.68638817651315
"3,4-dihydroxyphenylacetic acid",0.951053919745255,-1.00649411064178
"3,4-dihydroxyhydrocinnamic acid NIST",0.706277136696699,1.12019556697636
"3,4-dihydroxycinnamic acid",0.266479896179182,-1.21475329863718
"3,4-dihydroxybenzoic acid",0.697306434730228,-1.15374546828769
"3-(3-hydroxyphenyl)propionic acid",0.238271537747818,-1.43591419135271
"3-(3-hydroxyphenyl)-3-hydroxypropionic acid nist",0.606391087352881,-1.12639675712332
"2-isopropylmalic acid",0.271425123639128,-2.05279461030125
"2-hydroxyvaleric acid",0.721608315676357,-1.06205062580438
"2-hydroxyhippuric acid",0.479793238231912,-2.09087611523277
"2-hydroxyglutaric acid",0.000787192828568282,-1.39684858225866
"2-deoxytetronic acid",0.190885158087038,1.11804720528051
"2,8-dihydroxyquinoline",3.27398604041624e-05,2.25347809834506
"2,3-dihydroxybutanoic acid NIST",0.3015518523949,-1.10183620991519
"1,3,5-trimethylcyanuric acid",0.328646133844464,1.06321164527136
"322524",0.0236923489560634,1.19934465371546
"321130",0.0666587829614173,1.10398210485511
"321061",0.841117836690477,1.02766143200099
"318795",0.499717935199359,1.04812058807659
"318782",0.711452441626406,-1.07207276120154
"318776",0.0946565906546698,1.16982545111818
"317497",0.589784505754367,1.07185876499755
"316343",0.471281573358644,1.28630523979283
"316285",0.0111782305104226,1.60100751781483
"316099",0.0167570086982167,-1.19548729616989
"315573",0.00440323149333714,1.6441420659403
"253919",0.00682807851377551,1.17310350978785
"253509",0.342151980557395,-1.1494982311027
"253052",0.546600148195122,-1.09763574493721
"250508",0.192923618267548,1.18036901697311
"241399",0.90942009973259,1.00849088302495
"241374",0.428851436111234,1.07066072297799
"241312",0.00394206764449803,1.40967349702351
"241301",0.00742513995296761,1.49087982929223
"240104",0.0937140299855205,-1.22587889324442
"240078",0.18980134864678,1.06795526399859
"240058",0.1062023218598,1.09993232541397
"239368",0.645444334482269,1.0363244817412
"239325",0.128922825771407,1.08557708468391
"239316",0.0706923936377435,1.10339835067251
"239314",0.117318522937554,1.09873440801088
"239310",0.46988876328699,1.06685400352379
"239302",0.65602038848393,1.0516535470609
"239300",0.0101515083535266,1.23022366403238
"237709",0.151712152126182,1.16951965367709
"237707",0.435544283758403,-1.08916651625611
"237267",0.028174536002731,1.12510529666896
"236871",0.380315551915811,1.05630366216927
"236822",0.337646237455661,1.12777469358463
"236816",0.00347518250145497,1.41467890403725
"228185",0.0812046155112843,1.2264038120588
"228052",4.22592382372377e-05,2.03572019287616
"228047",0.503485503806012,-1.18552203314248
"224110",0.576331919293749,-1.12522313989483
"218907",0.878994989015102,-1.05403753654352
"218889",0.658102408020667,-1.23756222385479
"217691",0.285122218544381,-1.15272463798523
"215929",0.0157917504967298,1.13932568429574
"213981",0.481531516500585,1.14103464078717
"210658",0.880726304113814,1.01132118809327
"210360",0.0501957828981008,1.14969354320152
"210314",0.00656980283179602,-1.6377623926306
"210249",0.357592602977603,1.0749913683556
"209690",0.00509279057061167,1.34375701384065
"209685",0.0498720501143002,1.14912904407957
"209682",0.00197118639636911,1.24264897865151
"209671",0.728875322768575,-1.02398381531857
"209178",0.0743325447203713,1.10470834027431
"209177",0.949094366504336,1.01063538983144
"209176",0.00681506121488287,1.25234197727259
"209175",0.0286999040989622,1.11718527605675
"209167",0.0116261376818376,1.20280286891067
"204741",0.265178762171555,1.08060424801307
"194946",0.0943943792955327,1.49322326116414
"189382",0.805565381292326,1.02784032220909
"188921",0.372482182870606,1.62911740621321
"183433",0.0316557618994665,1.12281122482862
"171968",0.239200795052107,-1.13978608562086
"171592",0.117800963875467,1.38608858026492
"170105",0.514540610082046,1.05115427758748
"163829",0.124974105756787,-1.30334783442312
"161878",0.633622344203057,1.20807361683638
"160572",0.122268826261359,1.23063521826376
"146226",0.240856502160731,1.17166951819699
"146004",0.00447020363272278,1.21858470092907
"134464",0.224628975786035,-1.47554416025583
"134336",0.0254463181632296,1.18994503634059
"133590",0.128263225585511,1.12451708566785
"131611",0.929502847363679,-1.01432750785002
"131597",0.714450784530332,1.04970419274629
"131583",0.660977754695689,-1.18361995540371
"130712",0.110070939987129,1.13743670588045
"130478",0.0282233257356872,1.12386341216197
"127640",0.605981777389278,-1.07325639196249
"127277",0.812689431528839,1.0231632626893
"126423",0.152051313295796,1.11184730529785
"126391",0.468099443139326,1.08319950351366
"125800",0.50336759042311,1.04850179370822
"124615",0.0160798955587982,-2.11128300320708
"124283",0.531904764559093,1.05343438794102
"123963",0.0157654747918311,-1.54698883766643
"122787",0.534222703543838,-1.14266493180046
"122223",0.204283907879018,1.23826065383979
"121191",0.436414248423399,-1.26091805084631
"121002",0.858729001072662,1.01617306213984
"120744",0.121566693745123,1.18697604345284
"119054",0.419352960216403,1.10097658490226
"118997",0.408443967065069,1.26945909262844
"117141",0.0566449701074429,1.22270991687102
"117098",0.0947114614294837,-1.35792789210023
"117024",0.256385987123181,1.17435917667419
"111791",0.130406841319282,1.10160679296493
"110343",0.946588904497687,1.00436401294498
"110018",0.562732509093916,1.06016504452718
"109809",0.0220170540362665,-1.66437290022652
"109708",0.620446519727139,1.26543135963599
"109617",0.563545679786201,-1.10676010811135
"109587",0.517687342282238,-1.1222485698082
"109464",0.960562619169,1.01169265479067
"107882",0.182108687227695,-1.34075017577344
"106936",0.443258196736196,-1.13925571403272
"106904",0.00109911919146723,1.49492060073856
"106899",0.847705704605705,1.01703375232249
"105538",0.366997569030906,-1.18382768193062
"104906",0.0942205063013661,1.14824311021865
"103102",0.117176985751403,1.09906563338029
"100912",0.329080551042914,1.09353562882154
"100666",0.690838990680252,1.03036790060978
"97753",0.0719310797994953,1.16862390778398
"89250",0.250020660370387,1.31006982719704
"88502",0.0861600181727269,1.14983220805813
"87834",0.311251915819845,-1.54423158180457
"87792",0.716909043878792,1.06579239040808
"87756",0.893237905484652,1.01205182478378
"86075",0.0278538717814526,1.24492676026546
"85651",0.112525382568245,3.73959993430123
"65419",0.243723122265856,1.11558393166803
"62263",0.813534088802408,-1.03043576914969
"43580",0.411627682161991,1.08987268518519
"42357",0.695472673443211,-1.10055157799675
"42187",0.0160553436306852,1.19374314876617
"41989",0.0427892597549632,-1.74392741817167
"41836",0.299718160888005,-1.14810524720769
"41811",0.529128042836113,1.04890530781097
"34183",0.133987699787409,1.24738318080976
"34172",0.26286371711234,-1.34578737670322
"34169",0.720888743997947,1.08189912299435
"34163",0.278932708632881,-1.10663862327725
"34157",0.85539990574139,-1.05393120032846
"34152",0.0410738970653919,-1.22215022068363
