"label","No"
"SM (d38:2) [M+HCOO]- ",309
"SM (d40:0) [M+HCOO]-",310
"SM (d40:1) [M+HCOO]-",313
"SM (d40:2) [M-HCOO]- ",314
"SM (d40:3) [M+HCOO]-",315
"SM (d41:1) [M+HCOO]-",317
"SM (d41:2) [M+HCOO]-",318
"SM (d42:1) [M+HCOO]-",321
"SM (d42:2) A [M+HCOO]-",325
"SM (d42:2) B [M+HCOO]-",326
"SM (d42:3) [M+HCOO]-",328
"SM (d43:2) [M+HCOO]-",329
"CSH_negESI #014",36
"CSH_negESI #017",37
"CSH_negESI #021",38
"CSH_negESI #024",39
"CSH_negESI #046",40
"CSH_negESI #056",41
"CSH_negESI #071",42
"CSH_negESI #074",43
"CSH_negESI #078",44
"CSH_negESI #079",45
"CSH_negESI #091",46
"CSH_negESI #108",47
"CSH_negESI #109",48
"CSH_negESI #113",49
"CSH_negESI #120",50
"CSH_negESI #120 ",51
"CSH_negESI #123",52
"CSH_negESI #124",53
"CSH_negESI #130",54
"CSH_negESI #131",55
"CSH_negESI #132",56
"CSH_negESI #133",57
"CSH_negESI #134",58
"CSH_negESI #135",59
"CSH_negESI #136",60
"CSH_negESI #137",61
"CSH_negESI #138",62
"CSH_negESI #139",63
"CSH_negESI #140",64
"CSH_negESI #144",65
"CSH_negESI #146",66
"CSH_negESI #191",67
"CSH_negESI #192",68
"CSH_negESI #199",69
"CSH_negESI #200",70
"CSH_negESI #202",71
"CSH_negESI #203",72
"CSH_negESI #206",73
"CSH_negESI #206_1",74
"CSH_negESI #220",75
"CSH_negESI #221",76
"CSH_negESI #223",77
"CSH_negESI #223_1",78
"CSH_negESI #238",79
"CSH_negESI #251",80
"CSH_negESI #251_1",81
"CSH_negESI #252",82
"CSH_negESI #253",83
"CSH_negESI #257",84
"CSH_negESI #259",85
"CSH_negESI #261",86
"CSH_negESI #264",87
"CSH_negESI #264_1",88
"CSH_negESI #275",89
"CSH_negESI #275_1",90
"CSH_negESI #278",91
"CSH_negESI #290",92
"CSH_negESI #293",93
"CSH_negESI #293_1",94
"CSH_negESI #298",95
"CSH_negESI #298_1",96
"CSH_negESI #308",97
"CSH_negESI #309",98
"CSH_negESI #310",99
"CSH_negESI #340",100
"CSH_negESI #344",101
"CSH_negESI #345",102
"CSH_negESI #347",103
"CSH_negESI #365",104
"CSH_negESI #366",105
"CSH_negESI #374",106
"CSH_negESI #375",107
"CSH_negESI #376",108
"CSH_negESI #377",109
"CSH_negESI #378",110
"CSH_negESI #379",111
"CSH_negESI #380",112
"CSH_negESI #381",114
"CSH_negESI #382",115
"CSH_negESI #384",116
"CSH_negESI #385",117
"CSH_negESI #386",118
"CSH_negESI #386_1",119
"CSH_negESI #387",120
"CSH_negESI #388",121
"CSH_negESI #389",122
"CSH_negESI #390",123
"CSH_negESI #391",124
"CSH_negESI #392",125
"CSH_negESI #393",126
"CSH_negESI #394",127
"CSH_negESI #395",128
"CSH_negESI #396",129
"CSH_negESI #397",130
"CSH_negESI #400",131
"CSH_negESI #401",132
"CSH_negESI #500",215
"CSH_negESI #501",225
"CSH_negESI #502",239
"CSH_negESI #503",243
"CSH_negESI #504",244
"CSH_negESI #505",245
"CSH_negESI #506",246
"CSH_negESI #507",247
"CSH_negESI #508",286
"CSH_negESI #509",287
"CSH_negESI #510",288
"CSH_negESI #511",289
"CSH_negESI #512",293
